accession,virus,viral_family,host
NC_035471,Bastrovirus/VietNam/Bat/16715_78,Astroviridae,Chiroptera
NC_035474,Human feces smacovirus 3,Smacoviridae,Homo sapiens
NC_075341,Human feces smacovirus 3,Smacoviridae,Homo sapiens
NC_035475,Hudisavirus sp.,,Homo sapiens
NC_035476,Porcine stool-associated circular virus/BEL/15V010,Circoviridae,Sus scrofa
NC_035477,Porcine feces-associated gemycircularvirus,Genomoviridae,Sus scrofa
NC_035478,Sus scrofa papillomavirus 2,Papillomaviridae,Sus scrofa
NC_035479,Felis catus papillomavirus type 5,Papillomaviridae,Felis catus
NC_035619,Odocoileus adenovirus 1,Adenoviridae,Odocoileus hemionus columbianus
NC_035675,Fathead minnow calicivirus,Caliciviridae,Pimephales promelas
NC_035758,Bastrovirus 7,Astroviridae,Homo sapiens
NC_035779,Falcon picornavirus,Picornaviridae,Falco vespertinus
NC_035797,Squirrelpox virus Berlin_2015,Poxviridae,Sciurus vulgaris
KJ577815,Porcine stool-associated circular virus 7,Smacoviridae,Sus scrofa
KJ660072,Pestivirus PG-2,Flaviviridae,Bos
KJ769231,Swine deltacoronavirus OhioCVM1/2014,Coronaviridae,Sus scrofa
KJ857508,Enterovirus C99,Picornaviridae,Homo sapiens
EF555644,Enterovirus C99,Picornaviridae,Homo sapiens
KM023140,salivirus A2,Picornaviridae,Homo sapiens
KM085343,Human papillomavirus 197,Papillomaviridae,Homo sapiens
KM203656,Orivirus A,Picornaviridae,Gallus gallus
KM258880,Bovine herpesvirus type 1.2 strain K22,Orthoherpesviridae,Bos taurus
KM258881,Bovine herpesvirus type 1.2 strain B589,Orthoherpesviridae,Bos taurus
KM258882,Bovine herpesvirus type 1.2 strain SM023,Orthoherpesviridae,Bos taurus
KM262785,Seal anellovirus 6,Anelloviridae,Phoca vitulina
KM390024,Human parvovirus 4,Parvoviridae,Homo sapiens
KM392286,Swine cyclovirus,Circoviridae,Sus scrofa
KM408491,Pestivirus Burdur/05-TR,Flaviviridae,Capra hircus
KM496323,Bovine polyomavirus 1,Polyomaviridae,Bos taurus
KM496324,Bovine polyomavirus 2a,Polyomaviridae,Bos taurus
KM496325,Bovine polyomavirus 2b,Polyomaviridae,Bos taurus
KM591901,simian adenovirus 51,Adenoviridae,Macaca mulatta
KM591902,simian adenovirus 52,Adenoviridae,Macaca mulatta
NC_005339,Mossman virus,Paramyxoviridae,Muroidea
NC_005775,Oropouche virus,Peribunyaviridae,Eutheria
NC_005776,Oropouche virus,Peribunyaviridae,Eutheria
NC_005777,Oropouche virus,Peribunyaviridae,Eutheria
NC_005790,Turkey astrovirus 2,Astroviridae,Meleagris gallopavo
NC_005888,Ross's goose hepatitis B virus,Hepadnaviridae,Anser rossii
NC_005889,Bovine adeno-associated virus,Parvoviridae,Boreoeutheria
NC_005890,Sheldgoose hepatitis B virus,Hepadnaviridae,Chloephaga
NC_005894,Mammarenavirus piritalense,Arenaviridae,Sigmodon alstoni
NC_005897,Mammarenavirus piritalense,Arenaviridae,Sigmodon alstoni
NC_005902,lymphocystis disease virus-China,Iridoviridae,Paralichthys olivaceus
NC_005946,Frog virus 3,Iridoviridae,Batrachia
NC_005947,Avian endogenous retrovirus EAV-HP,Retroviridae,Gallus gallus
NC_005950,Snow goose hepatitis B virus,Hepadnaviridae,Anser caerulescens
NC_005982,Blotched snakehead virus,Birnaviridae,Channa
NC_005983,Blotched snakehead virus,Birnaviridae,Channa
NC_005986,Palyam virus,Sedoreoviridae,Bos taurus
NC_005987,Palyam virus,Sedoreoviridae,Bos taurus
NC_005988,Palyam virus,Sedoreoviridae,Bos taurus
NC_005989,Palyam virus,Sedoreoviridae,Bos taurus
NC_005990,Palyam virus,Sedoreoviridae,Bos taurus
NC_005991,Palyam virus,Sedoreoviridae,Bos taurus
NC_005992,Palyam virus,Sedoreoviridae,Bos taurus
NC_005993,Palyam virus,Sedoreoviridae,Bos taurus
NC_005994,Palyam virus,Sedoreoviridae,Bos taurus
NC_005995,Palyam virus,Sedoreoviridae,Bos taurus
NC_006144,Simian adenovirus 3,Adenoviridae,Macaca mulatta
NC_006146,Macacine gammaherpesvirus 4,Orthoherpesviridae,Macaca mulatta
NC_006147,Muscovy duck parvovirus,Parvoviridae,Cairina moschata
NC_006148,Snake adeno-associated virus,Parvoviridae,Toxicofera
NC_006150,macacine betaherpesvirus 3,Orthoherpesviridae,Macaca mulatta
NC_006151,Suid alphaherpesvirus 1,Orthoherpesviridae,Sus scrofa
NC_075689,Suid alphaherpesvirus 1,Orthoherpesviridae,Sus scrofa
NC_006152,adeno-associated virus 5,Parvoviridae,Homo sapiens
NC_006259,bovine parvovirus 2,Parvoviridae,Bos taurus
NC_006260,adeno-associated virus 7,Parvoviridae,Macaca mulatta
NC_006263,Avian adeno-associated virus strain DA-1,Parvoviridae,Gallus gallus
NC_006273,Human betaherpesvirus 5,Orthoherpesviridae,Homo sapiens
NC_006296,Rinderpest virus (strain Kabete O),Paramyxoviridae,Artiodactyla
NC_006306,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006307,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006308,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006309,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006310,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006311,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006312,Influenza C virus (C/Ann Arbor/1/50),Orthomyxoviridae,Boreoeutheria
NC_006313,Sabia virus,Arenaviridae,Euarchontoglires
NC_006317,Sabia virus,Arenaviridae,Euarchontoglires
NC_006383,peste-des-petits-ruminants virus,Paramyxoviridae,Caprinae
NC_006428,Orthorubulavirus simiae,Paramyxoviridae,Simiiformes
NC_006429,Lyssavirus mokola,Rhabdoviridae,Boreoeutheria
NC_006430,parainfluenza virus 5,Paramyxoviridae,Boreoeutheria
NC_006433,Hantavirus Z10,Hantaviridae,Homo sapiens
NC_006435,Hantavirus Z10,Hantaviridae,Homo sapiens
NC_006437,Hantavirus Z10,Hantaviridae,Homo sapiens
NC_006439,Pichinde virus,Arenaviridae,Euarchontoglires
NC_006447,Pichinde virus,Arenaviridae,Euarchontoglires
NC_006497,Infectious salmon anemia virus,Orthomyxoviridae,Euteleosteomorpha
NC_006505,Infectious salmon anemia virus,Orthomyxoviridae,Euteleosteomorpha
NC_006498,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006499,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006500,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006501,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006502,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006503,Isavirus salaris,Orthomyxoviridae,Salmoninae
NC_006549,Singapore grouper iridovirus,Iridoviridae,Epinephelus tauvina
NC_006553,anativirus A1,Picornaviridae,Anas platyrhynchos
NC_006554,Sapovirus C12,Caliciviridae,Homo sapiens
NC_006560,Cercopithecine alphaherpesvirus 2,Orthoherpesviridae,Euarchontoglires
NC_006561,Muscovy duck circovirus,Circoviridae,Cairina moschata
NC_006563,Trichechus manatus latirostris papillomavirus 1,Papillomaviridae,Trichechus manatus latirostris
NC_006564,Canis familiaris papillomavirus 2,Papillomaviridae,Canis lupus familiaris
NC_006572,Mopeia Lassa virus reassortant 29,Arenaviridae,Chlorocebus aethiops
NC_006575,Mopeia virus AN20410,Arenaviridae,Mastomys natalensis
NC_006577,Human coronavirus HKU1,Coronaviridae,Homo sapiens
NC_006623,Gallid alphaherpesvirus 1,Orthoherpesviridae,Gallus gallus
NC_075683,Gallid alphaherpesvirus 1,Orthoherpesviridae,Gallus gallus
NC_006875,Calicivirus isolate TCG,Caliciviridae,Bos taurus
NC_006879,simian adenovirus 1,Adenoviridae,Macaca fascicularis
NC_006951,Erethizon dorsatum papillomavirus 1,Papillomaviridae,Erethizon dorsatum
NC_006966,Deerpox virus W-848-83,Poxviridae,Odocoileus hemionus
NC_006998,Vaccinia virus,Poxviridae,Boreoeutheria
NC_007013,Small anellovirus 1,Anelloviridae,Homo sapiens
NC_027818,hepatovirus B1,Picornaviridae,Phoca vitulina
NC_027821,Gemycircularvirus gemy-ch-rat1,Genomoviridae,Rattus
NC_027916,Testudinid alphaherpesvirus 3,Orthoherpesviridae,Testudo horsfieldii
NC_027918,Kobuvirus cattle/Kagoshima-2-24-KoV/2015/JPN,Picornaviridae,Bos taurus
NC_027919,Kobuvirus cattle/Kagoshima-1-22-KoV/2014/JPN,Picornaviridae,Bos taurus
NC_027922,White sucker hepatitis B virus,Hepadnaviridae,Catostomus commersonii
NC_027998,Human pegivirus 2,Flaviviridae,Homo sapiens
NC_028045,Bat associated circovirus 4,Circoviridae,Chiroptera
NC_028099,Felis catus gammaherpesvirus 1,Orthoherpesviridae,Felis catus
NC_028103,Simian adenovirus 13,Adenoviridae,Macaca
NC_028105,Simian adenovirus 16,Adenoviridae,Chlorocebus
NC_028107,Simian adenovirus 19,Adenoviridae,Papio cynocephalus
NC_028117,Bank vole polyomavirus,Polyomaviridae,Arvicolinae
NC_028119,Common vole polyomavirus,Polyomaviridae,Microtus arvalis
NC_028120,bat polyomavirus 4b,Polyomaviridae,Carollia perspicillata
NC_028121,bat polyomavirus 2b,Polyomaviridae,Pteronotus parnellii
NC_028122,bat polyomavirus 2a,Polyomaviridae,Desmodus rotundus
NC_028123,bat polyomavirus 3b,Polyomaviridae,Molossus molossus
NC_028125,human papillomavirus 163,Papillomaviridae,Homo sapiens
NC_028126,Bos taurus papillomavirus 12,Papillomaviridae,Bos taurus
NC_028127,Sumatran orang-utan polyomavirus,Polyomaviridae,Pongo abelii
NC_028136,Tetraparvovirus ungulate1,Parvoviridae,Bos grunniens
NC_028236,Kumasi rhabdovirus,Rhabdoviridae,Eidolon helvum
NC_028238,Turkeypox virus,Poxviridae,Meleagris gallopavo
NC_028239,Koolpinyah virus,Rhabdoviridae,Bos taurus
NC_028240,Posavirus 3,,Sus scrofa
NC_028249,Phocine morbillivirus,Paramyxoviridae,Phocidae
NC_028252,Tasmanian aquabirnavirus,Birnaviridae,Moridae
NC_028253,Tasmanian aquabirnavirus,Birnaviridae,Moridae
NC_028255,Cocal virus,Rhabdoviridae,Boreoeutheria
NC_028267,Trichechus manatus latirostris papillomavirus 4,Papillomaviridae,Trichechus manatus latirostris
NC_028362,Caprine parainfluenza virus 3,Paramyxoviridae,Capra hircus
NC_028363,Rodent hepatovirus RMU101637Micarv2010,Picornaviridae,Microtus arvalis
NC_028364,Shrew hepatovirus KS121232Sorara2012,Picornaviridae,Sorex araneus
NC_028365,Hedgehog hepatovirus Igel8Erieur2014,Picornaviridae,Erinaceus europaeus
NC_028366,hepatovirus H2,Picornaviridae,Eidolon helvum
NC_028377,Wenling shark virus,Flaviviridae,Proscyllium habereri
NC_028379,Elephant endotheliotropic herpesvirus 4,Orthoherpesviridae,Elephas maximus
NC_028380,sicinivirus A1,Picornaviridae,Gallus gallus
NC_028395,Wuhan cricket virus,,Gonocephalus sp.
NC_028400,Wuhan cricket virus,,Gonocephalus sp.
NC_028401,Wuhan cricket virus,,Gonocephalus sp.
NC_028402,Wuhan cricket virus,,Gonocephalus sp.
NC_028459,Human associated gemyvongvirus 1,Genomoviridae,Homo sapiens
NC_028461,Epizootic haematopoietic necrosis virus,Iridoviridae,Perca fluviatilis
NC_028492,Rattus norvegicus papillomavirus 3,Papillomaviridae,Rattus norvegicus
NC_028635,Pan troglodytes verus polyomavirus 8,Polyomaviridae,Pan troglodytes verus
NC_028650,Rat bufavirus SY-2015,Parvoviridae,Rattus
NC_028752,Camel alphacoronavirus,Coronaviridae,Camelus
NC_028806,Swine enteric coronavirus,Coronaviridae,Sus scrofa
NC_028811,BtMr-AlphaCoV/SAX2011,Coronaviridae,Myotis ricketti
FJ025902,Simian adenovirus 42.2,Adenoviridae,Homininae
FJ025904,Simian adenovirus 31.2,Adenoviridae,Homininae
FJ025905,Simian adenovirus 34,Adenoviridae,Homininae
FJ025908,simian adenovirus 33,Adenoviridae,Homininae
FJ025910,simian adenovirus 35 (bonobo),Adenoviridae,Homininae
FJ025916,simian adenovirus 29,Adenoviridae,Homininae
FJ025917,Simian adenovirus 36,Adenoviridae,Homininae
FJ025918,Simian adenovirus 25.2,Adenoviridae,Homininae
FJ025921,Simian adenovirus 37.1,Adenoviridae,Homininae
FJ025922,Simian adenovirus 38,Adenoviridae,Homininae
FJ025923,Simian adenovirus 26,Adenoviridae,Homininae
FJ025924,Simian adenovirus 39,Adenoviridae,Homininae
FJ025927,simian adenovirus 41.2,Adenoviridae,Homininae
FJ025928,simian adenovirus 27.2,Adenoviridae,Homininae
FJ025929,simian adenovirus 47,Adenoviridae,Homininae
FJ025930,simian adenovirus 46,Adenoviridae,Homininae
FJ195346,Caprine arthritis encephalitis virus Ov496,Retroviridae,Ovis aries
FJ375129,Human bocavirus isolate SH3,Parvoviridae,Homo sapiens
FJ387164,Sapovirus pig/sav1/2008/CHN,Caliciviridae,Sus scrofa
FJ434664,Avastrovirus 3,Astroviridae,Anas platyrhynchos
FJ445112,rhinovirus B5,Picornaviridae,Homo sapiens
FJ445114,rhinovirus A9,Picornaviridae,Homo sapiens
FJ445116,rhinovirus A13,Picornaviridae,Homo sapiens
FJ445118,rhinovirus A18,Picornaviridae,Homo sapiens
FJ445119,rhinovirus A19,Picornaviridae,Homo sapiens
FJ445120,rhinovirus A20,Picornaviridae,Homo sapiens
FJ445121,rhinovirus A21,Picornaviridae,Homo sapiens
FJ445122,rhinovirus A22,Picornaviridae,Homo sapiens
FJ445124,rhinovirus B26,Picornaviridae,Homo sapiens
FJ445126,rhinovirus A31,Picornaviridae,Homo sapiens
FJ445127,rhinovirus A32,Picornaviridae,Homo sapiens
FJ445128,rhinovirus A33,Picornaviridae,Homo sapiens
FJ445129,rhinovirus A40,Picornaviridae,Homo sapiens
FJ445130,rhinovirus B42,Picornaviridae,Homo sapiens
FJ445131,rhinovirus A43,Picornaviridae,Homo sapiens
FJ445132,rhinovirus A45,Picornaviridae,Homo sapiens
FJ445133,rhinovirus A47,Picornaviridae,Homo sapiens
FJ445134,rhinovirus A49,Picornaviridae,Homo sapiens
FJ445135,rhinovirus A50,Picornaviridae,Homo sapiens
FJ445136,rhinovirus A51,Picornaviridae,Homo sapiens
FJ445138,rhinovirus A54,Picornaviridae,Homo sapiens
FJ445140,rhinovirus A56,Picornaviridae,Homo sapiens
FJ445141,rhinovirus A57,Picornaviridae,Homo sapiens
FJ445142,rhinovirus A58,Picornaviridae,Homo sapiens
FJ445143,rhinovirus A60,Picornaviridae,Homo sapiens
FJ445144,rhinovirus A61,Picornaviridae,Homo sapiens
FJ445145,rhinovirus A62,Picornaviridae,Homo sapiens
FJ445146,rhinovirus A63,Picornaviridae,Homo sapiens
FJ445147,rhinovirus A65,Picornaviridae,Homo sapiens
MN379636,Chicken microvirus mg7_1,Microviridae,Gallus gallus
MN379637,Chicken microvirus mg7_6,Microviridae,Gallus gallus
MN379638,Chicken microvirus mg7_7,Microviridae,Gallus gallus
MN379639,Chicken microvirus mg7_8,Microviridae,Gallus gallus
MN379640,Chicken microvirus mg7_10,Microviridae,Gallus gallus
MN379641,Chicken microvirus mg7_14,Microviridae,Gallus gallus
MN379642,Chicken microvirus mg7_16,Microviridae,Gallus gallus
MN379643,Chicken microvirus mg7_19,Microviridae,Gallus gallus
MN379644,Chicken microvirus mg7_20,Microviridae,Gallus gallus
MN379645,Chicken microvirus mg7_25,Microviridae,Gallus gallus
MN379646,Chicken microvirus mg8_41,Microviridae,Gallus gallus
MN379647,Chicken microvirus mg8_45,Microviridae,Gallus gallus
MN379648,Chicken microvirus mg8_48,Microviridae,Gallus gallus
MN379649,Chicken microvirus mg8_95,Microviridae,Gallus gallus
MN379650,Chicken microvirus mg8_102,Microviridae,Gallus gallus
MN379651,Chicken microvirus mg8_109,Microviridae,Gallus gallus
MT135255,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135256,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135257,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135258,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135259,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135260,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135261,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135262,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135263,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135264,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135265,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135266,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135268,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135269,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135270,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135271,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135272,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135273,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135274,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135275,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135276,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135277,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135278,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135279,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135280,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135281,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
MT135282,Gokushovirinae sp.,Microviridae,Sus scrofa domesticus
NC_075287,Bacilladnaviridae sp.,Bacilladnaviridae,Lutjanus campechanus
NC_075290,Bacilladnaviridae sp.,Bacilladnaviridae,Lutjanus campechanus
NC_075291,Macaca mulatta feces associated virus 10,Smacoviridae,Macaca mulatta
NC_075292,Macaca mulatta feces associated virus 2,Smacoviridae,Macaca mulatta
NC_075293,Macaca mulatta feces associated virus 7,Smacoviridae,Macaca mulatta
NC_075294,Macaca mulatta feces associated virus 4,Smacoviridae,Macaca mulatta
NC_075295,Macaca mulatta feces associated virus 3,Smacoviridae,Macaca mulatta
NC_075300,Rodent stool-associated circular genome virus,Vilyaviridae,Microtus pennsylvanicus
NC_075301,Rodent stool-associated circular genome virus,Vilyaviridae,Microtus pennsylvanicus
NC_075302,Rodent stool-associated circular genome virus,Vilyaviridae,Microtus pennsylvanicus
NC_075314,Lepus americanus faeces associated genomovirus SHP9,Genomoviridae,Lepus americanus
NC_075315,Alces alces faeces associated genomovirus MP157,Genomoviridae,Alces alces
NC_075316,Alces alces faeces associated genomovirus MP111,Genomoviridae,Alces alces
NC_075317,Alces alces faeces associated genomovirus MP84,Genomoviridae,Alces alces
NC_075318,Alces alces faeces associated genomovirus MP68,Genomoviridae,Alces alces
NC_075319,Alces alces faeces associated genomovirus MP43,Genomoviridae,Alces alces
NC_075320,Lynx canadensis faeces associated genomovirus CL5 48,Genomoviridae,Lynx canadensis
NC_075321,Lynx canadensis faeces associated genomovirus CL1 71,Genomoviridae,Lynx canadensis
NC_075322,Lynx canadensis faeces associated genomovirus CL1 46,Genomoviridae,Lynx canadensis
NC_075323,Gemycircularvirus sp.,Genomoviridae,Amniota
NC_075325,Gemycircularvirus sp.,Genomoviridae,Amniota
NC_040379,Gemycircularvirus sp.,Genomoviridae,Amniota
NC_076496,Gemycircularvirus sp.,Genomoviridae,Amniota
NC_075324,Cattle blood-associated gemycircularvirus,Genomoviridae,Bos
NC_040351,Cattle blood-associated gemycircularvirus,Genomoviridae,Bos
NC_075329,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075330,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075331,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075332,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075333,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075334,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075335,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075336,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075337,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_035197,Giant panda associated gemycircularvirus,Genomoviridae,Ailuropoda melanoleuca
NC_075338,Lupine feces-associated gemycircularvirus 2,Genomoviridae,Canis lupus signatus
NC_075339,Canine feces-associated gemycircularvirus,Genomoviridae,Canis lupus familiaris
NC_075342,Chicken associated smacovirus,Smacoviridae,Gallus gallus
NC_033275,Chicken associated smacovirus,Smacoviridae,Gallus gallus
NC_075369,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075370,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075371,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075372,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075373,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075374,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075375,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075376,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075377,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075378,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075379,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075380,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075381,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075382,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075383,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075384,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075385,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075386,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075388,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075389,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075390,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075447,Anelloviridae sp.,Anelloviridae,Homo sapiens
NC_075387,Cressdnaviricota sp.,,Paguma larvata
NC_076852,Cressdnaviricota sp.,,Paguma larvata
NC_075391,Bat circovirus,Circoviridae,Yangochiroptera
NC_035799,Bat circovirus,Circoviridae,Yangochiroptera
NC_076479,Bat circovirus,Circoviridae,Yangochiroptera
NC_075392,Respirovirus muris,Paramyxoviridae,Rodentia
NC_001552,Respirovirus muris,Paramyxoviridae,Rodentia
NC_075404,avian paramyxovirus 1,Paramyxoviridae,Aves
NC_075411,Calicivirus chicken/V0021/Bayern/2004,Caliciviridae,Gallus gallus
NC_075415,Seal anellovirus 5,Anelloviridae,Phoca vitulina
NC_075417,Mandrillus leucophaeus cytomegalovirus,Orthoherpesviridae,Mandrillus leucophaeus
NC_075425,Rosavirus C,Picornaviridae,Rattus andamanensis
NC_031106,Rosavirus C,Picornaviridae,Rattus andamanensis
NC_075427,Torque teno Leptonychotes weddellii virus-1,Anelloviridae,Leptonychotes weddellii
NC_035136,Torque teno Leptonychotes weddellii virus-1,Anelloviridae,Leptonychotes weddellii
NC_075428,Canine picornavirus,Picornaviridae,Canis lupus familiaris
NC_016964,Canine picornavirus,Picornaviridae,Canis lupus familiaris
NC_075434,Simian foamy virus,Retroviridae,Macaca fascicularis
NC_026810,Mongoose feces-associated gemycircularvirus d,Genomoviridae,Herpestes ichneumon
NC_026811,Wobbly possum disease virus,Arteriviridae,Trichosurus vulpecula
NC_026812,Chinook salmon bafinivirus,Tobaniviridae,Osteoglossocephalai
NC_026814,Canine astrovirus,Astroviridae,Canis lupus familiaris
NC_026815,Protoparvovirus eulipotyphla1,Parvoviridae,Crocidura hirta
NC_026817,Human genital-associated circular DNA virus-1,Genomoviridae,Homo sapiens
NC_026820,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026821,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026822,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026823,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
NC_026824,Rotavirus I,Sedoreoviridae,Canis lupus familiaris
